报告编码,医院_伤害,医院_伤害_input,医院_伤害表现,医院_器械故障表现,医院_使用过程,医院_事件原因分析,医院_事件原因分析描述,企业_伤害表现,企业_伤害_input,企业_器械故障表现,企业_使用过程,企业_事件原因分析
1253715062025000050,严重伤害,[CLS]M210202_给药不足[SEP]注射泵不前进[SEP]2025221上午10床安学敏因胸闷气短咳嗽使用注射泵对其进行药物注射治疗治疗结束后发现注射器药物未注射成功但是已显示完成注射未按时输注药液可能给患者造成严重伤害立即更换注射泵并联系设备科[SEP],M210202_给药不足,注射泵不前进,2025221上午10床安学敏因胸闷气短咳嗽使用注射泵对其进行药物注射治疗治疗结束后发现注射器药物未注射成功但是已显示完成注射未按时输注药液可能给患者造成严重伤害立即更换注射泵并联系设备科,产品原因（包括说明书等）,产品质量问题,M210202_给药不足,[CLS]M210202_给药不足[SEP]注射泵不前进[SEP]2025221上午10床安学敏因胸闷气短咳嗽使用注射泵对其进行药物注射治疗治疗结束后发现注射器药物未注射成功但是已显示完成注射未按时输注药液可能给患者造成严重伤害立即更换注射泵并联系设备科[SEP],注射泵不前进,2025221上午10床安学敏因胸闷气短咳嗽使用注射泵对其进行药物注射治疗治疗结束后发现注射器药物未注射成功但是已显示完成注射未按时输注药液可能给患者造成严重伤害立即更换注射泵并联系设备科,院方上报的是严重伤害根据严重伤害的定义我司认为应为其他1问题发生时药物未按预期完成注射立即更换其他设备继续为患者注射未对人体造成伤害2根据设备使用情况分析故障原因为设备在使用过程中发生过剧烈震动或磕碰机器内部件碎裂掉落在齿轮上导致齿轮卡死无法运转并传递动力从而无法完成药物注射
1406528112025000010,其他,[CLS]设备故障导致科室注射泵短缺给工作人员带来不便[SEP]推进卡钳断裂[SEP]于2025年2月8日儿科护士准备使用注射泵给患者注射药物时注射泵推进卡钳断裂立即报设备科工程师设备科工程师到现场重新加固断裂部位后设备恢复正常[SEP],设备故障导致科室注射泵短缺给工作人员带来不便,推进卡钳断裂,于2025年2月8日儿科护士准备使用注射泵给患者注射药物时注射泵推进卡钳断裂立即报设备科工程师设备科工程师到现场重新加固断裂部位后设备恢复正常,无法确定,设备使用频繁设备老化导致的断裂,设备故障导致科室注射泵短缺给工作人员带来不便,[CLS]设备故障导致科室注射泵短缺给工作人员带来不便[SEP]推进卡钳断裂[SEP]于2025年2月8日儿科护士准备使用注射泵给患者注射药物时注射泵推进卡钳断裂立即报设备科工程师设备科工程师到现场重新加固断裂部位后设备恢复正常[SEP],推进卡钳断裂,于2025年2月8日儿科护士准备使用注射泵给患者注射药物时注射泵推进卡钳断裂立即报设备科工程师设备科工程师到现场重新加固断裂部位后设备恢复正常,由于该设备已使用11年处于超期使用状态长期临床使用频繁捏合捏柄导致捏柄材质老化开裂而捏柄是固定注射器推杆尾端的装置部件之一控制注射泵的注射器夹张开与闭合当其损伤后无法调节离合器位置
1162101072025000018,其他,[CLS]注射泵注射时自动停止不泵药[SEP]注射泵注射时自动停止不泵药[SEP]患者于202525在我院进行慢性阻塞性肺疾病伴急性加重治疗25日在使用注射泵泵入多索茶碱用药治疗改善通气时注射泵在使用过程中不泵入药物与家属解释后重新更换注射泵泵入药物[SEP],注射泵注射时自动停止不泵药,注射泵注射时自动停止不泵药,患者于202525在我院进行慢性阻塞性肺疾病伴急性加重治疗25日在使用注射泵泵入多索茶碱用药治疗改善通气时注射泵在使用过程中不泵入药物与家属解释后重新更换注射泵泵入药物,无法确定,主板损坏,注射泵注射时自动停止不泵药,[CLS]注射泵注射时自动停止不泵药[SEP]注射泵注射时自动停止不泵药[SEP]患者于202525在我院进行慢性阻塞性肺疾病伴急性加重治疗25日在使用注射泵泵入多索茶碱用药治疗改善通气时注射泵在使用过程中不泵入药物与家属解释后重新更换注射泵泵入药物[SEP],注射泵注射时自动停止不泵药,患者于202525在我院进行慢性阻塞性肺疾病伴急性加重治疗25日在使用注射泵泵入多索茶碱用药治疗改善通气时注射泵在使用过程中不泵入药物与家属解释后重新更换注射泵泵入药物,该设备已超使用寿命期长期临床使用导致主控板老化故障无法正常传递信号从而停止泵药
1386204002025000162,其他,[CLS]null[SEP]一个通道无法推注[SEP]工作人员启动设备加在注射器后发现一通道无法退出提示报警[SEP],null,一个通道无法推注,工作人员启动设备加在注射器后发现一通道无法退出提示报警,"产品原因（包括说明书等）,无法确定",null,null,[CLS]null[SEP]一个通道无法推注[SEP]工作人员启动设备加在注射器后发现一通道无法退出提示报警[SEP],一个通道无法推注,工作人员启动设备加在注射器后发现一通道无法退出提示报警,因该设备处于超期使用状态长期临床转运过程中设备受到跌宕与震动导致电位器插头松动而作为行程传感器当其功能异常时不能准确识别注射器位置导致无法推注
1253712022025000023,严重伤害,[CLS]情绪烦躁延误病情[SEP]频繁报警[SEP]2025年02月11日在为患者泵注药品时注射泵频繁报警影响患者休息致使患者及其家属精神紧张影响医护人员正常工作更换注射泵并送修检测[SEP],情绪烦躁延误病情,频繁报警,2025年02月11日在为患者泵注药品时注射泵频繁报警影响患者休息致使患者及其家属精神紧张影响医护人员正常工作更换注射泵并送修检测,产品原因（包括说明书等）,注射泵在泵注过程中频繁报警注射泵故障,情绪烦躁延误病情,[CLS]情绪烦躁延误病情[SEP]频繁报警[SEP]2025年02月11日在为患者泵注药品时注射泵频繁报警影响患者休息致使患者及其家属精神紧张影响医护人员正常工作更换注射泵并送修检测[SEP],频繁报警,2025年02月11日在为患者泵注药品时注射泵频繁报警影响患者休息致使患者及其家属精神紧张影响医护人员正常工作更换注射泵并送修检测,院方上报的是严重伤害根据严重伤害的定义我司认为应为其他1问题发生时故障设备报警无法使用并及时更换其他的设备为患者使用未对人身造成伤害2根据故障情况分析压力传感器插头松动的原因可能为临床搬动与转运过程中设备受到跌宕震动导致内部压力传感器插头松动压力值信号传输异常造成报警
1233503222024000072,其他,[CLS]null[SEP]注射泵拉杆传感器损坏[SEP]2024年7月24日在对病人准备输液时发现注射泵无法启动观察发现是拉杆无法检测到注射器尺寸更换一台注射泵[SEP],null,注射泵拉杆传感器损坏,2024年7月24日在对病人准备输液时发现注射泵无法启动观察发现是拉杆无法检测到注射器尺寸更换一台注射泵,产品原因（包括说明书等）,注射泵拉杆传感器损坏,null,[CLS]null[SEP]注射泵拉杆传感器损坏[SEP]2024年7月24日在对病人准备输液时发现注射泵无法启动观察发现是拉杆无法检测到注射器尺寸更换一台注射泵[SEP],注射泵拉杆传感器损坏,2024年7月24日在对病人准备输液时发现注射泵无法启动观察发现是拉杆无法检测到注射器尺寸更换一台注射泵,该设备已使用10年多处于超期使用状态长期临床使用导致电位器松动位移或者损伤而作为行程传感器当其功能异常时无法准确识别注射器位置导致电位器数值没变化
1213303102025000019,其他,[CLS]无[SEP]D0101_故障提示[SEP]2025年1月20日早上查房时医生根据CT结果肺间质性肺炎医嘱予甲强龙40mg09NS20ml静脉微泵应用抗炎治疗护士启动微泵正常运行后离开病房10分钟后患者家属发现微泵报警提示系统故障6仪器停止运行立即通知护士护士立即更换邻床备用注射泵继续用药患者未诉明显不适经评估未对患者产生明显伤害故障仪器送设备科联系厂方工程师后考虑仪器压力传感器问题返厂维修[SEP],无,D0101_故障提示,2025年1月20日早上查房时医生根据CT结果肺间质性肺炎医嘱予甲强龙40mg09NS20ml静脉微泵应用抗炎治疗护士启动微泵正常运行后离开病房10分钟后患者家属发现微泵报警提示系统故障6仪器停止运行立即通知护士护士立即更换邻床备用注射泵继续用药患者未诉明显不适经评估未对患者产生明显伤害故障仪器送设备科联系厂方工程师后考虑仪器压力传感器问题返厂维修,产品原因（包括说明书等）,仪器压力传感器问题,无,[CLS]无[SEP]D0101_故障提示[SEP]2025年1月20日早上查房时医生根据CT结果肺间质性肺炎医嘱予甲强龙40mg09NS20ml静脉微泵应用抗炎治疗护士启动微泵正常运行后离开病房10分钟后患者家属发现微泵报警提示系统故障6仪器停止运行立即通知护士护士立即更换邻床备用注射泵继续用药患者未诉明显不适经评估未对患者产生明显伤害故障仪器送设备科联系厂方工程师后考虑仪器压力传感器问题返厂维修[SEP],D0101_故障提示,2025年1月20日早上查房时医生根据CT结果肺间质性肺炎医嘱予甲强龙40mg09NS20ml静脉微泵应用抗炎治疗护士启动微泵正常运行后离开病房10分钟后患者家属发现微泵报警提示系统故障6仪器停止运行立即通知护士护士立即更换邻床备用注射泵继续用药患者未诉明显不适经评估未对患者产生明显伤害故障仪器送设备科联系厂方工程师后考虑仪器压力传感器问题返厂维修,根据故障情况分析压力传感器插头松动的原因可能为压力传感器插头未固定牢固在频繁的临床搬运过程中设备受到跌宕震动导致内部压力传感器插头松动压力值信号传输异常造成报警
1274204002025000015,其他,[CLS]无[SEP]D1201_设备或部件脱离[SEP]2025年1月07日护士使用注射泵对患者进行恒速静脉输注药液设备开机自检时发现固定注射器的卡扣及卡座断掉脱落设备无法工作微量泵不能正常工作护士重新更换一台注射泵使用并将该情况上报设备科维修[SEP],无,D1201_设备或部件脱离,2025年1月07日护士使用注射泵对患者进行恒速静脉输注药液设备开机自检时发现固定注射器的卡扣及卡座断掉脱落设备无法工作微量泵不能正常工作护士重新更换一台注射泵使用并将该情况上报设备科维修,产品原因（包括说明书等）,固定注射器的卡扣及卡座断掉脱落设备无法工作,无,[CLS]无[SEP]D1201_设备或部件脱离[SEP]2025年1月07日护士使用注射泵对患者进行恒速静脉输注药液设备开机自检时发现固定注射器的卡扣及卡座断掉脱落设备无法工作微量泵不能正常工作护士重新更换一台注射泵使用并将该情况上报设备科维修[SEP],D1201_设备或部件脱离,2025年1月07日护士使用注射泵对患者进行恒速静脉输注药液设备开机自检时发现固定注射器的卡扣及卡座断掉脱落设备无法工作微量泵不能正常工作护士重新更换一台注射泵使用并将该情况上报设备科维修,由于该设备已使用11年处于超寿命期使用状态长期临床使用频繁捏合捏柄推拉拉杆导致捏柄结构老化断裂而捏柄是固定注射器推杆尾端的装置部件之一控制注射泵的注射器夹张开与闭合当其损伤后无法调节离合器位置
1406528112025000005,其他,[CLS]设备故障导致科室注射泵短缺给工作人员带来不便[SEP]电源按键失灵[SEP]于2025年1月14日ccu护士准备使用双通道注射泵时发现不通电立即报设备科工程师设备科工程师经检查发现电源按键失灵取回维修室待维修[SEP],设备故障导致科室注射泵短缺给工作人员带来不便,电源按键失灵,于2025年1月14日ccu护士准备使用双通道注射泵时发现不通电立即报设备科工程师设备科工程师经检查发现电源按键失灵取回维修室待维修,无法确定,设备老化导致电源按键失灵,设备故障导致科室注射泵短缺给工作人员带来不便,[CLS]设备故障导致科室注射泵短缺给工作人员带来不便[SEP]电源按键失灵[SEP]于2025年1月14日ccu护士准备使用双通道注射泵时发现不通电立即报设备科工程师设备科工程师经检查发现电源按键失灵取回维修室待维修[SEP],电源按键失灵,于2025年1月14日ccu护士准备使用双通道注射泵时发现不通电立即报设备科工程师设备科工程师经检查发现电源按键失灵取回维修室待维修,由于该设备已使用12年处于超期使用状态长期临床使用导致电源按键老化无法正常使用
1253706002025000098,其他,[CLS]无[SEP]无法正常开机[SEP]无法正常开机[SEP],无,无法正常开机,无法正常开机,产品原因（包括说明书等）,内部电路故障,无,[CLS]无[SEP]无法正常开机[SEP]无法正常开机[SEP],无法正常开机,无法正常开机,该设备已使用6年多处于超寿命期使用状态长期临床使用电源板老化故障从而无法通电开机
1253717032025000052,其他,[CLS]无[SEP]注射器夹持器坏[SEP]2025年1月21日科室人员检查设备时发现夹持器断裂报设备科维修现场检查推送杆夹持器由于长时间使用断裂没有给患者造成不良现象[SEP],无,注射器夹持器坏,2025年1月21日科室人员检查设备时发现夹持器断裂报设备科维修现场检查推送杆夹持器由于长时间使用断裂没有给患者造成不良现象,产品原因（包括说明书等）,现场检查推送杆夹持器断裂,无,[CLS]无[SEP]注射器夹持器坏[SEP]2025年1月21日科室人员检查设备时发现夹持器断裂报设备科维修现场检查推送杆夹持器由于长时间使用断裂没有给患者造成不良现象[SEP],注射器夹持器坏,2025年1月21日科室人员检查设备时发现夹持器断裂报设备科维修现场检查推送杆夹持器由于长时间使用断裂没有给患者造成不良现象,由于该设备已超5年使用期限长期临床使用频繁捏合捏柄导致捏柄老化开裂从而无法调节离合器位置
1386204002025000094,其他,[CLS][SEP]报警注射器未顶紧[SEP]科室在使用时设备报警注射器未顶紧影响科室使用随上报运维中心[SEP],,报警注射器未顶紧,科室在使用时设备报警注射器未顶紧影响科室使用随上报运维中心,"产品原因（包括说明书等）,无法确定",可能为排线松动,,[CLS][SEP]报警注射器未顶紧[SEP]科室在使用时设备报警注射器未顶紧影响科室使用随上报运维中心[SEP],报警注射器未顶紧,科室在使用时设备报警注射器未顶紧影响科室使用随上报运维中心,分析可能是由于生产过程中内部FPC线未固定结实临床转运频繁搬动设备设备内部电线震动跌宕导致FPC线插头松动无法正常传递信号
1253715062025000015,其他,[CLS]无[SEP]注射泵使用过程中液体不报警[SEP]202412133床于X使用注射泵泵入硝酸异山梨酯注射液调控血压责任护士巡视病房时发现注射泵药液注射完毕后仪器未报警导致未及时更换药液[SEP],无,注射泵使用过程中液体不报警,202412133床于X使用注射泵泵入硝酸异山梨酯注射液调控血压责任护士巡视病房时发现注射泵药液注射完毕后仪器未报警导致未及时更换药液,产品原因（包括说明书等）,报警器单元损坏,无,[CLS]无[SEP]注射泵使用过程中液体不报警[SEP]202412133床于X使用注射泵泵入硝酸异山梨酯注射液调控血压责任护士巡视病房时发现注射泵药液注射完毕后仪器未报警导致未及时更换药液[SEP],注射泵使用过程中液体不报警,202412133床于X使用注射泵泵入硝酸异山梨酯注射液调控血压责任护士巡视病房时发现注射泵药液注射完毕后仪器未报警导致未及时更换药液,长期临床使用导致喇叭内部电线焊接点氧化当频繁转运搬动设备时线束晃动导致焊点松动脱落无法正常导电发声
1386204002025000042,其他,[CLS]无[SEP]无法正常启动[SEP]工作人员为患者准备泵入液体注射器安装至设备后设备无法正常工作不能正常泵出药物液体[SEP],无,无法正常启动,工作人员为患者准备泵入液体注射器安装至设备后设备无法正常工作不能正常泵出药物液体,"产品原因（包括说明书等）,无法确定",null,无,[CLS]无[SEP]无法正常启动[SEP]工作人员为患者准备泵入液体注射器安装至设备后设备无法正常工作不能正常泵出药物液体[SEP],无法正常启动,工作人员为患者准备泵入液体注射器安装至设备后设备无法正常工作不能正常泵出药物液体,1经检查是内部长电位器插头松动作为行程传感器当其功能异常时不能准确识别注射器位置设备未能正常识别注射器管路长度导致无法启动2长电位器松动的原因为临床长期使用过程中频繁搬动设备设备受到震动跌宕内部电线晃动导致长电位器插头松动
1284318002024001920,其他,[CLS]可能对病人造成伤害[SEP]气泡报警[SEP]2024年8月14日工作人员发现注射泵气泡报警会对病人输液造成影响停用报修[SEP],可能对病人造成伤害,气泡报警,2024年8月14日工作人员发现注射泵气泡报警会对病人输液造成影响停用报修,产品原因（包括说明书等）,设备故障,可能对病人造成伤害,[CLS]可能对病人造成伤害[SEP]气泡报警[SEP]2024年8月14日工作人员发现注射泵气泡报警会对病人输液造成影响停用报修[SEP],气泡报警,2024年8月14日工作人员发现注射泵气泡报警会对病人输液造成影响停用报修,根据故障现象与设备使用情况分析经长期临床搬动和转运过程中设备震动跌宕气泡传感器插头松动导致接触不良引发报警
1162101072024000587,其他,[CLS]无[SEP]注射泵无法关机[SEP]患者胰岛素注射完毕关闭机器时无法关闭[SEP],无,注射泵无法关机,患者胰岛素注射完毕关闭机器时无法关闭,无法确定,null,无,[CLS]无[SEP]注射泵无法关机[SEP]患者胰岛素注射完毕关闭机器时无法关闭[SEP],注射泵无法关机,患者胰岛素注射完毕关闭机器时无法关闭,该设备已使用4年临床操作过程中不慎将药液洒落未及时清理药液流入按键与主控板间隙内长期累积导致按键与主控板接触不良从而信号传递失效
1233503222023000241,其他,[CLS]一般[SEP]无警告的严重危害[SEP]患者2023年10月23日因病来院治疗使用注射泵进行治疗中途出现流速过快预警护士立马更换一台进行治疗[SEP],一般,无警告的严重危害,患者2023年10月23日因病来院治疗使用注射泵进行治疗中途出现流速过快预警护士立马更换一台进行治疗,产品原因（包括说明书等）,仪器故障,一般,[CLS]一般[SEP]无警告的严重危害[SEP]患者2023年10月23日因病来院治疗使用注射泵进行治疗中途出现流速过快预警护士立马更换一台进行治疗[SEP],无警告的严重危害,患者2023年10月23日因病来院治疗使用注射泵进行治疗中途出现流速过快预警护士立马更换一台进行治疗,长期未对该设备进行注射器校准设备内存储的注射器参数与实际注射器参数不一致导致实际流速与设定流速不一致
1233503222024000070,其他,[CLS]null[SEP]注射泵无法启动[SEP]2024年7月24日在使用注射泵对病人准备输液时发现注射泵无法启动观察发现是拉杆无法检测到注射器尺寸更换一台注射泵[SEP],null,注射泵无法启动,2024年7月24日在使用注射泵对病人准备输液时发现注射泵无法启动观察发现是拉杆无法检测到注射器尺寸更换一台注射泵,产品原因（包括说明书等）,注射泵拉杆传感器损坏,null,[CLS]null[SEP]注射泵无法启动[SEP]2024年7月24日在使用注射泵对病人准备输液时发现注射泵无法启动观察发现是拉杆无法检测到注射器尺寸更换一台注射泵[SEP],注射泵无法启动,2024年7月24日在使用注射泵对病人准备输液时发现注射泵无法启动观察发现是拉杆无法检测到注射器尺寸更换一台注射泵,该设备已使用10年多处于超期使用状态长期临床使用导致电位器松动位移或者损伤而作为行程传感器当其功能异常时无法准确识别注射器位置导致电位器数值没变化
1233503222024000107,其他,[CLS]null[SEP]D010302_按键故障[SEP]患者2024年10月14日使用注射泵注射30ml用于治疗消化道疾病的药液注射泵按下开始按键界面没有显示进行注射按了好几遍都无法工作更换注射泵给药经查为拉杆连接的注射器传感器脱落拉杆的杆座断裂将传感器接好底座用胶水粘牢测试使用正常[SEP],null,D010302_按键故障,患者2024年10月14日使用注射泵注射30ml用于治疗消化道疾病的药液注射泵按下开始按键界面没有显示进行注射按了好几遍都无法工作更换注射泵给药经查为拉杆连接的注射器传感器脱落拉杆的杆座断裂将传感器接好底座用胶水粘牢测试使用正常,产品原因（包括说明书等）,拉杆连接的注射器传感器脱落拉杆的杆座断裂,null,[CLS]null[SEP]D010302_按键故障[SEP]患者2024年10月14日使用注射泵注射30ml用于治疗消化道疾病的药液注射泵按下开始按键界面没有显示进行注射按了好几遍都无法工作更换注射泵给药经查为拉杆连接的注射器传感器脱落拉杆的杆座断裂将传感器接好底座用胶水粘牢测试使用正常[SEP],D010302_按键故障,患者2024年10月14日使用注射泵注射30ml用于治疗消化道疾病的药液注射泵按下开始按键界面没有显示进行注射按了好几遍都无法工作更换注射泵给药经查为拉杆连接的注射器传感器脱落拉杆的杆座断裂将传感器接好底座用胶水粘牢测试使用正常,由于该设备已使用12年处于超期使用状态长期临床使用频繁捏合捏柄导致捏柄材质老化开裂
1284311072024000105,其他,[CLS]在正常使用输液泵进行输液过程中输液泵突然发生无故报警[SEP]在正常使用输液泵进行输液过程中输液泵突然发生无故报警提示未明确原因[SEP]2024年10月12日给患者在正常使用输液泵进行液体输注的过程中输液泵突然发出无故报警报警提示未明确具体原因如低流量阻塞压力超限的常见报警类型经检查确认输液通畅电池电力充足无其他明显故障源暂停输液操作进行故障排查影响了患者的正常治疗流程[SEP],在正常使用输液泵进行输液过程中输液泵突然发生无故报警,在正常使用输液泵进行输液过程中输液泵突然发生无故报警提示未明确原因,2024年10月12日给患者在正常使用输液泵进行液体输注的过程中输液泵突然发出无故报警报警提示未明确具体原因如低流量阻塞压力超限的常见报警类型经检查确认输液通畅电池电力充足无其他明显故障源暂停输液操作进行故障排查影响了患者的正常治疗流程,产品原因（包括说明书等）,1气泡传感器压力传感器等可能因老化污染或干扰而误触发报警2环境问题如温度湿度存在电磁干扰影响操作正常进行,在正常使用输液泵进行输液过程中输液泵突然发生无故报警,[CLS]在正常使用输液泵进行输液过程中输液泵突然发生无故报警[SEP]在正常使用输液泵进行输液过程中输液泵突然发生无故报警提示未明确原因[SEP]2024年10月12日给患者在正常使用输液泵进行液体输注的过程中输液泵突然发出无故报警报警提示未明确具体原因如低流量阻塞压力超限的常见报警类型经检查确认输液通畅电池电力充足无其他明显故障源暂停输液操作进行故障排查影响了患者的正常治疗流程[SEP],在正常使用输液泵进行输液过程中输液泵突然发生无故报警提示未明确原因,2024年10月12日给患者在正常使用输液泵进行液体输注的过程中输液泵突然发出无故报警报警提示未明确具体原因如低流量阻塞压力超限的常见报警类型经检查确认输液通畅电池电力充足无其他明显故障源暂停输液操作进行故障排查影响了患者的正常治疗流程,由于该设备已使用7年处于超期使用状态经长期临床使用气泡传感器老化导致无法正常工作从而设备发出气泡报警
1406545002024002103,其他,[CLS]无[SEP]D020105_自行重启[SEP]在病房使用时突然自行重启无法正常注药护士及时发现更换注射泵[SEP],无,D020105_自行重启,在病房使用时突然自行重启无法正常注药护士及时发现更换注射泵,产品原因（包括说明书等）,设备在运行两分钟后无故自行重启科室更换新注射泵不影响治疗,无,[CLS]无[SEP]D020105_自行重启[SEP]在病房使用时突然自行重启无法正常注药护士及时发现更换注射泵[SEP],D020105_自行重启,在病房使用时突然自行重启无法正常注药护士及时发现更换注射泵,因该设备已使用11年长期临床使用机器在频繁转运过程中收到震动跌宕导致内部线缆松动接触不良从而发生设备供电不稳的现象
1213306072024000214,其他,[CLS]M210202_给药不足[SEP]D041204_泵停止工作D1702_应用程序问题[SEP]使用注射泵输液抽好药液将注射液安置在注射泵上设置好参数点击开始无法启动显示注射器错误[SEP],M210202_给药不足,D041204_泵停止工作D1702_应用程序问题,使用注射泵输液抽好药液将注射液安置在注射泵上设置好参数点击开始无法启动显示注射器错误,"产品原因（包括说明书等）,无法确定",null,M210202_给药不足,[CLS]M210202_给药不足[SEP]D041204_泵停止工作D1702_应用程序问题[SEP]使用注射泵输液抽好药液将注射液安置在注射泵上设置好参数点击开始无法启动显示注射器错误[SEP],D041204_泵停止工作D1702_应用程序问题,使用注射泵输液抽好药液将注射液安置在注射泵上设置好参数点击开始无法启动显示注射器错误,1FPC线的功能之一是负责传递检测信号损坏后造成检测信号中断发出注射器错误报警报警后设备不能注射药物无法正常使用2结合市场反馈分析FPC线损坏的原因可能是生产过程中内部FPC线未固定牢固在临床搬运过程中产生晃动FPC线与周围电路板摩擦导致磨损
1253718062025000004,其他,[CLS]无[SEP]报警注射器未顶紧[SEP]巡检过程中发现开机后报警注射器未顶紧[SEP],无,报警注射器未顶紧,巡检过程中发现开机后报警注射器未顶紧,产品原因（包括说明书等）,FPC线故障,无,[CLS]无[SEP]报警注射器未顶紧[SEP]巡检过程中发现开机后报警注射器未顶紧[SEP],报警注射器未顶紧,巡检过程中发现开机后报警注射器未顶紧,分析问题原因为生产过程中内部FPC线未固定牢固在临床搬运过程中产生晃动FPC线与周围电路板摩擦导致磨损而FPC线是负责传递离合检测信号损坏后造成检测信号中断从而发生报警
1274201022024000726,其他,[CLS]无[SEP]指脉氧测量故障[SEP]2024年12月12日护士在维护设备时发现该设备测量指脉氧功能出现故障联系维修[SEP],无,指脉氧测量故障,2024年12月12日护士在维护设备时发现该设备测量指脉氧功能出现故障联系维修,无法确定,指脉氧测量故障,无,[CLS]无[SEP]指脉氧测量故障[SEP]2024年12月12日护士在维护设备时发现该设备测量指脉氧功能出现故障联系维修[SEP],指脉氧测量故障,2024年12月12日护士在维护设备时发现该设备测量指脉氧功能出现故障联系维修,根据故障情况分析压力传感器插头松动的原因可能为临床搬动与转运过程中设备受到跌宕震动导致内部压力传感器插头松动压力值信号传输异常造成报警
1274201022024000518,其他,[CLS]无伤害[SEP]无法开机[SEP]20240927护士在维护设备时发现该设备无法开机联系维修[SEP],无伤害,无法开机,20240927护士在维护设备时发现该设备无法开机联系维修,无法确定,不详,无伤害,[CLS]无伤害[SEP]无法开机[SEP]20240927护士在维护设备时发现该设备无法开机联系维修[SEP],无法开机,20240927护士在维护设备时发现该设备无法开机联系维修,该设备已使用超过12年处于超期使用状态长期临床使用导致电源板老化故障设备无法通电开机
1376104002024000649,其他,[CLS]延误治疗[SEP]泵速不准[SEP]12月25日下午护士在使用注射泵对病人进行精准注射时发现注射泵泵速不准立即停止使用并更换设备联系设备科处理[SEP],延误治疗,泵速不准,12月25日下午护士在使用注射泵对病人进行精准注射时发现注射泵泵速不准立即停止使用并更换设备联系设备科处理,产品原因（包括说明书等）,操作规范正确出现泵速不准的情况判定为设备自身原因,延误治疗,[CLS]延误治疗[SEP]泵速不准[SEP]12月25日下午护士在使用注射泵对病人进行精准注射时发现注射泵泵速不准立即停止使用并更换设备联系设备科处理[SEP],泵速不准,12月25日下午护士在使用注射泵对病人进行精准注射时发现注射泵泵速不准立即停止使用并更换设备联系设备科处理,该设备已使用5年多且长期未进行注射器校准设备内存储的注射器参数与实际注射器参数不一致导致实际流速与设定流速不一致
1253714102024000404,严重伤害,[CLS]M210202_给药不足[SEP]D1207_机械故障[SEP]患者于8月31日入ICU治疗护士为患者设置3小时泵入药物治疗3小时后泵入完成护士发现注射器未推注到底约15ML药物残留提前停止泵入且未报警于是更换备用机将剩余药物注射患者体内使患者延长了注射时间单位时间给药量降低[SEP],M210202_给药不足,D1207_机械故障,患者于8月31日入ICU治疗护士为患者设置3小时泵入药物治疗3小时后泵入完成护士发现注射器未推注到底约15ML药物残留提前停止泵入且未报警于是更换备用机将剩余药物注射患者体内使患者延长了注射时间单位时间给药量降低,产品原因（包括说明书等）,注射泵老化杆卡涩失灵,M210202_给药不足,[CLS]M210202_给药不足[SEP]D1207_机械故障[SEP]患者于8月31日入ICU治疗护士为患者设置3小时泵入药物治疗3小时后泵入完成护士发现注射器未推注到底约15ML药物残留提前停止泵入且未报警于是更换备用机将剩余药物注射患者体内使患者延长了注射时间单位时间给药量降低[SEP],D1207_机械故障,患者于8月31日入ICU治疗护士为患者设置3小时泵入药物治疗3小时后泵入完成护士发现注射器未推注到底约15ML药物残留提前停止泵入且未报警于是更换备用机将剩余药物注射患者体内使患者延长了注射时间单位时间给药量降低,院方上报的是严重伤害根据严重伤害的定义我司认为应为其他1设备问题为结束注射时有少量药液未注射完全立即停用该设备并使用其他设备完成输液未对患者造成伤害2该设备已使用12年长期临床使用使套筒老化变型与O型密封圈固定件摩擦卡顿注射器固定拉杆推拉不畅导致有药物残留
1345248002024000932,其他,[CLS]null[SEP]D100901_漏电流[SEP]早上开机发现设备无法正常开机设备背部电源线接口处只有零线火线接头两根线无第三根地线设计存在严重的漏电隐患会导致漏电或者电源板烧毁故障发生[SEP],null,D100901_漏电流,早上开机发现设备无法正常开机设备背部电源线接口处只有零线火线接头两根线无第三根地线设计存在严重的漏电隐患会导致漏电或者电源板烧毁故障发生,产品原因（包括说明书等）,设备背部电源线接口处只有零线火线接头两根线无第三根地线设计存在严重的漏电隐患会导致漏电或者电源板烧毁故障发生,null,[CLS]null[SEP]D100901_漏电流[SEP]早上开机发现设备无法正常开机设备背部电源线接口处只有零线火线接头两根线无第三根地线设计存在严重的漏电隐患会导致漏电或者电源板烧毁故障发生[SEP],D100901_漏电流,早上开机发现设备无法正常开机设备背部电源线接口处只有零线火线接头两根线无第三根地线设计存在严重的漏电隐患会导致漏电或者电源板烧毁故障发生,1电源板是设备的供电模块为设备传递电量当发生故障时无法将交流电或电池电量传递给设备导致设备无法正常开机调查使用该批次电源板检验记录未出现该不良问题同时未接收到其他医院关于该批次产品不良问题的反馈判断为个例问题2针对客户反馈的我司设备电源线只有零线和火线两根线无接地线的情况原因为根据国际电工委员会IEC安全防护的标准我司注射泵设计为II类设备可见铭牌上的回形标识在IEC606011标准中指出II类设备是通过使用双重绝缘或加强绝缘技术来达到电击防护的目的这意味着即使一层绝缘失效另一层也能继续提供足够的保护从而避免了对地线的依赖因此我司设备无需连接到地线即可安全操作
